Characteristics,Appearances
universal claims or assertions such as about the gods,"1.5, 3.3"
appeals to authority ,"2.14, 3.6"
conversation,nan
personification,nan
rhetorical questions,2.5
metaphors,nan
anecdotes or examples,nan
imperatives,"3.1, 3.6, 3.14"
exhortation,"2.1, 2.15, 3.12"
caustic injunctions,nan
pathos,1.4
irony or satire,nan
hyperbole,nan
oppositions or choices,"2.10, 2.12, 3.2"
figurations of groupness,3.2
second person addresses,"1.2, 1.3, 1.5, 1.6, 1.10, 1.11, 2.1, 2.3, 2.5, 2.6, 2.13, 2.15, 2.17, 3.1, 3.3, 3.6, 3.7, 3.11, 3.13, 3.15, 3.16, 3.18"
plural inclusive addresses,"1.1, 1.3, 2.1, 2.15, 2.16, 3.18"
first person reflection,3.17
analysis of questions or objections,nan
systematic structure,nan
