Characteristics,Appearances
universal claims or assertions such as about the gods,"1.8, 1.18, 1.25, 2.14, 3.19, 3.22, 4.5, 4.20, 6.13, 6.17, 6.18, 7.10, 7.14, 7.19, 7.24, 7.31, 7.39, 8.4, 8.6, 8.8, 10.1, 10.13, 10.17, 11.8, 11.11, 11.27, 12.4, 12.13, 12.18, 12.27, 12.28, 15.39, 15.42, 15.50, 15.51"
appeals to authority ,"1.1, 1.6, 1.17, 1.19, 1.31, 2.7, 2.9, 2.16, 3.10, 3.19, 4.1, 4.4, 4.6, 4.20, 6.16, 7.10, 7.15, 7.40, 9.2, 9.8, 9.16, 10.2, 10.18, 11.14, 11.23, 12.28, 14.21, 14.33, 14.37, 15.1, 15.8, 15.10, 15.27, 15.33, 15.45, 15.54"
conversation,"3.4, 6.15, 10.23, 10.29, 15.29"
personification,"6.15, 10.29, 12.21, 15.29"
rhetorical questions,"1.13, 1.20, 2.11, 3.3, 3.5, 3.16, 4.7, 4.21, 5.2, 5.6, 5.12, 6.1, 6.5, 6.7, 6.9, 6.15, 6.16, 6.19, 7.16, 7.27, 8.10, 9.1, 9.4, 9.13, 9.24, 10.16, 10.18, 10.22, 10.29, 11.13, 11.22, 12.17, 12.19, 12.29, 14.6, 14.7, 14.15, 14.16, 14.23, 14.26, 14.36, 15.32"
metaphors,"3.2, 9.7, 9.10, 12.12, 13.1, 14.7"
anecdotes or examples,"6.1, 7.21, 7.32, 7.36, 8.2, 8.7, 9.7, 12.3, 13.1, 14.2, 14.14, 14.24, 14.30"
imperatives,"5.5, 5.13, 6.18, 6.20, 7.27, 10.12, 10.14, 10.25, 11.1, 16.13"
exhortation,"1.10, 3.21, 4.16, 6.18, 7.8, 7.17, 7.21, 7.24, 7.29, 8.9, 9.24, 10.7, 10.14, 10.29, 10.31, 11.1, 11.28, 11.33, 12.31, 14.1, 14.5, 14.12, 14.20, 14.39, 15.34, 15.58, 16.13, 16.16, 16.18"
caustic injunctions,"5.2, 5.6, 15.34, 15.36, 16.22"
pathos,"15.10, 15.31"
irony or satire,nan
hyperbole,4.8
oppositions or choices,"2.14, 5.8, 6.3, 6.10, 7.22, 7.32, 8.1, 8.7, 10.20"
figurations of groupness,"1.2, 1.22, 4.9, 9.19, 10.20, 11.16"
second person addresses,"1.5, 1.9, 1.26, 3.9, 3.18, 3.21, 4.6, 4.14, 6.1, 6.4, 6.11, 6.20, 7.32, 7.35, 8.10, 9.2, 9.12, 10.1, 10.13, 10.15, 10.20, 11.2, 11.13, 11.17, 11.23, 11.30, 12.27, 12.31, 14.6, 14.37, 15.1, 15.11, 15.34, 15.50, 15.51, 16.23"
plural inclusive addresses,"1.2, 1.8, 1.18, 1.23, 1.30, 2.6, 3.9, 4.1, 6.3, 8.1, 8.4, 8.6, 9.4, 9.10, 9.12, 9.25, 10.1, 10.16, 10.22, 11.31, 12.13, 13.9, 15.19, 15.49, 15.51"
first person reflection,"1.4, 1.10, 1.14, 3.10, 4.17, 5.3, 5.7, 7.6, 7.8, 7.32, 7.35, 9.1, 9.8, 9.26, 10.1, 10.15, 11.1, 11.34, 14.18, 15.9, 15.32, 16.21"
analysis of questions or objections,"7.18, 7.21, 10.19, 15.29, 15.35"
systematic structure,"3.17, 4.17, 8.4, 8.7, 8.11, 9.3, 9.10, 9.14, 11.33, 12.26, 13.11, 14.2, 14.9, 14.11, 15.42, 15.56"
