Characteristics,Appearances
pathos,
irony or satire,"1.5.5, 1.19.4, 1.19.29, 1.21.2, 1.23.10, 1.24.5, 1.26.11, 1.29.21, 1.29.28, 1.29.41, 2.3.5, 2.9.22, 2.13.26, 2.16.31, 2.16.44, 2.17.38, 2.22.27, 2.20.32, 2.20.37, 3.1.31, 3.1.35, 3.2.13, 3.5.3, 3.5.12, 3.20.5, 3.21.6, 3.22.35, 3.22.59, 3.22.66, 3.23.19, 3.23.20, 3.23.28, 3.23.35, 3.24.30, 3.24.40, 3.24.80, 4.1.9, 4.1.15, 4.1.40, 4.1.132, 4.1.134, 4.1.136, 4.1.143, 4.1.149, 4.1.167, 4.4.13, 4.6.33, 4.11.28"
hyperbole,"2.3.8, 2.19.24, 3.1.31, 4.1.139, 4.11.28"
oppositions or choices,"1.2.5, 1.2.23, 1.3.3, 1.3.7, 1.4.15, 1.4.22, 1.4.27, 1.4.31, 1.5.3, 1.5.5, 1.5.8, 1.6.2, 1.6.11, 1.8.5, 1.9.10, 1.9.15, 1.9.20, 1.11.28, 1.11.37, 1.12.1, 1.12.20, 1.17.29, 1.18.6, 1.22.4, 1.25.14, 1.26.1, 1.29.3, 1.30.7, 2.1.4, 2.1.12, 2.1.19, 2.1.22, 2.1.37, 2.2.10, 2.2.21, 2.6.1, 2.6.19, 2.7.5, 2.9.11, 2.10.16, 2.10.29, 2.15.2, 2.16.18, 2.17.3, 2.18.8, 2.18.25, 2.21.11, 2.22.18, 2.22.21, 2.22.36, 2.23.41, 2.26.1, 3.1.15, 3.1.43, 3.2.18, 3.3.13, 3.7.17, 3.9.21, 3.11.2, 3.12.5, 3.12.16, 3.13.5, 3.13.21, 3.14.4, 3.15.5, 3.15.13, 3.16.7, 3.17.3, 3.18.6, 3.19.1, 3.20.4, 3.20.11, 3.20.12, 3.20.18, 3.21.15, 3.21.20, 3.21.24, 3.22.2, 3.22.15, 3.22.43, 3.22.59, 3.22.61, 3.22.69, 3.22.77, 3.22.93, 3.22.94, 3.22.102, 3.23.4, 3.23.23, 3.23.28, 3.24.1, 3.24.39, 3.24.61, 3.24.83, 3.26.12, 3.26.39, 4.1.42, 4.1.44, 4.1.48, 4.1.55, 4.1.77, 4.1.108, 4.1.122, 4.1.136, 4.1.147, 4.1.150, 4.1.162, 4.1.173, 4.1.177, 4.2.3, 4.2.7, 4.3.2, 4.3.9, 4.3.11, 4.4.5, 4.4.15, 4.4.18, 4.4.23, 4.4.36, 4.4.38, 4.5.12, 4.5.36, 4.6.4, 4.6.5, 4.6.22, 4.6.25, 4.6.31, 4.6.36, 4.7.9, 4.7.16, 4.7.21, 4.7.32, 4.7.38, 4.7.40, 4.8.3, 4.8.33, 4.9.1, 4.9.6, 4.9.16, 4.10.18, 4.10.25, 4.11.25, 4.12.11, 4.12.18, 4.13.7, 4.13.21"
figurations of groupness,"1.2.28, 1.3.3, 1.3.7, 1.4.1, 1.5.10, 1.7.1, 1.8.3, 1.8.8, 1.9.4, 1.9.15, 1.9.21, 1.10.1, 1.10.13, 1.11.28, 1.12.1, 1.14.17, 1.17.6, 1.17.18, 1.20.7, 1.22.17, 1.25.31, 1.26.3, 1.26.16, 1.27.1, 1.29.9, 2.1.5, 2.1.21, 2.1.33, 2.1.37, 2.9.13, 2.9.20, 2.10.5, 2.12.1, 2.12.12, 2.14.7, 2.14.11, 2.14.24, 2.15.1, 2.16.15, 2.17.1, 2.18.8, 2.20.5, 2.20.13, 2.20.22, 2.23.33, 2.23.41, 3.1.24, 3.2.5, 3.2.6, 3.5.16, 3.7.1, 3.7.5, 3.7.17, 3.8.7, 3.9.10, 3.12.1, 3.13.5, 3.15.13, 3.16.3, 3.16.11, 3.19.1, 3.21.1, 3.21.6, 3.22.1, 3.22.50, 3.22.94, 3.23.9, 3.24.1, 3.24.9, 3.26.7, 3.26.12, 3.26.36, 4.1.132, 4.1.173, 4.6.33, 4.6.37, 4.7.16, 4.8.5, 4.8.9, 4.8.15, 4.8.40, 4.9.1"
second person addresses,"1.1.1, 1.1.21, 1.1.31, 1.2.11, 1.2.23, 1.2.32, 1.4.1, 1.7.1, 1.7.2, 1.7.17, 1.7.29, 1.9.11, 1.9.18, 1.9.20, 1.9.25, 1.9.31, 1.9.34, 1.11.16, 1.11.37, 1.12.7, 1.12.32, 1.14.13, 1.20.8, 1.20.12, 1.24.3, 1.25.17, 1.29.9, 1.29.19, 2.1.27, 2.2.1, 2.3.2, 2.14.15, 2.6.2, 2.6.13, 2.6.25, 2.8.11, 2.8.13, 2.8.18, 2.10.1, 2.14.24, 2.15.3, 2.16.3, 2.16.31, 2.16.41, 2.16.45, 2.18.9, 2.18.25, 2.19.20, 2.19.29, 2.21.16, 3.1.10, 3.1.37, 3.5.17, 3.7.1, 3.7.19, 3.8.7, 3.10.18, 3.12.5, 3.14.2, 3.15.6, 3.16.13, 3.19.3, 3.21.3, 3.21.16, 3.21.24, 3.22.55, 3.22.84, 3.23.1, 3.23.23, 3.23.30, 3.24.1, 3.24.31, 3.24.40, 3.24.58, 3.24.115, 3.25.1, 3.25.6, 3.26.1, 3.26.12, 4.1.51, 4.1.68, 4.1.83, 4.1.103, 4.1.144, 4.1.170, 4.3.1, 4.4.19, 4.4.47, 4.6.36, 4.8.1, 4.8.13, 4.8.1, 4.9.16, 4.11.31"
plural inclusive addresses,"1.1.4, 1.1.9, 1.1.14, 1.1.22, 1.2.4, 1.2.6, 1.2.31, 1.2.37, 1.3.3, 1.4.32, 1.5.4, 1.6.7, 1.6.10, 1.7.2, 1.7.12, 1.7.30, 1.8.5, 1.9.7, 1.9.13, 1.9.21, 1.9.26, 1.10.1, 1.10.13, 1.11.28, 1.11.37, 1.12.14, 1.12.17, 1.14.1, 1.16.3, 1.16.6, 1.16.9, 1.16.15, 1.17.3, 1.17.18, 1.20.10, 1.22.1, 1.22.10, 1.25.28, 1.25.31, 1.26.2, 1.26.5, 1.27.14, 1.28.29, 1.28.33, 1.29.9, 1.29.57, 2.1.7, 2.1.10, 2.1.14, 2.1.40, 2.4.10, 2.5.21, 2.5.24, 2.6.14, 2.6.26, 2.7.1, 2.8.7, 2.8.15, 2.9.4, 2.9.13, 2.9.22, 2.10.6, 2.20.29, 2.11.2, 2.12.1, 2.12.12, 2.13.11, 2.14.7, 2.14.9, 2.14.23, 2.16.11, 2.17.2, 2.17.10, 2.17.21, 2.17.40, 2.18.8, 2.21.8, 2.22.17, 3.2.3, 3.3.18, 3.6.4, 3.7.1, 3.7.17, 3.7.28, 3.8.1, 3.10.1, 3.11.6, 3.12.1, 3.12.6, 3.12.15, 3.13.2, 3.13.7, 3.13.9, 3.13.20, 3.16.3, 3.16.11, 3.17.9, 3.19.3, 3.19.4, 3.20.1, 3.21.3, 3.22.1, 3.22.76, 3.23.1, 3.24.9, 3.24.61, 4.1.24, 4.1.59, 4.1.60, 4.1.65, 4.1.86, 4.1.128, 4.1.167, 4.4.14, 4.4.18, 4.5.2, 4.5.28, 4.5.36, 4.8.10, 4.8.23, 4.8.40, 4.12.15, 4.13.1"
first person reflection,"1.1.1, 1.1.8, 1.2.37, 1.3.1, 1.4.27, 1.9.10, 1.10.2, 1.10.8, 1.12.12, 1.16.21, 1.17.29, 1.19.18, 1.19.26, 1.21.2, 1.27.15, 1.28.28, 1.28.30, 1.29.29, 1.30.6, 2.1.3, 2.3.4, 2.8.28, 2.13.5, 2.15.13, 2.16.22, 2.18.17, 2.19.29, 2.23.39, 2.23.47, 3.1.10, 3.1.41, 3.5.7, 3.9.15, 3.20.12, 3.24.69, 3.25.9, 3.26.39, 4.1.50, 4.1.73, 4.1.115, 4.1.150, 4.1.151, 4.4.6, 4.5.34, 4.7.17, 4.7.38, 4.10.12, 4.11.24, 4.12.11, 4.13.6"
analysis of questions or objections,"1.1.1, 1.1.2, 1.1.17, 1.1.22, 1.1.32, 1.2.2, 1.2.10, 1.2.15, 1.4.10, 1.4.28, 1.5.10, 1.6.12, 1.6.18, 1.6.37, 1.7.13, 1.7.21, 1.8.16, 1.9.8, 1.9.12, 1.9.32, 1.10.7, 1.11.26, 1.12.9, 1.12.13, 1.12.34, 1.13.1, 1.17.1, 1.17.4, 1.19.24, 1.19.29, 1.19.5, 1.18.17, 1.18.21, 1.19.7, 1.20.5, 1.20.13, 1.20.18, 1.22.3, 1.22.9, 1.22.13, 1.23.5, 1.24.6, 1.25.1, 1.25.7, 1.25.14, 1.25.32, 1.27.4, 1.27.17, 1.27.18, 1.28.1, 1.28.5, 1.29.2, 1.29.9, 1.29.16, 1.29.58, 1.29.64, 1.29.66, 1.30.7, 2.1.18, 2.1.21, 2.1.30, 2.2.14, 2.2.26, 2.3.5, 2.4.2, 2.4.6, 2.4.10, 2.5.18, 2.5.24, 2.6.20, 2.7.9, 2.8.2, 2.8.9, 2.8.24, 2.9.2, 2.10.4, 2.10.7, 2.10.17, 2.10.24, 2.13.8, 2.14.14, 2.15.4, 2.16.22, 2.16.27, 2.16.40, 2.17.1, 2.17.3, 2.18.19, 2.21.4, 2.21.21, 2.22.1, 2.22.5, 2.23.8, 2.23.16, 2.23.21, 2.23.31, 2.23.36, 2.23.44, 3.2.10, 3.2.13, 3.3.5, 3.7.27, 3.7.29, 3.9.15, 3.10.13, 3.12.2, 3.12.8, 3.13.11, 3.13.17, 3.16.7, 3.19.4, 3.20.4, 3.20.9, 3.21.11, 3.22.31, 3.22.68, 3.22.76, 3.22.106, 3.23.4, 3.23.33, 3.24.4, 3.24.14, 3.24.18, 3.24.22, 3.24.27, 3.24.58, 3.24.64, 3.24.84, 3.24.89, 3.24.94, 3.26.4, 3.26.7, 3.26.19, 3.26.24, 3.26.29, 3.26.37, 4.4.5, 4.1.11, 4.1.52, 4.1.76, 4.1.86, 4.1.99, 4.1.110, 4.1.127, 4.1.144, 4.1.151, 4.1.157, 4.1.159, 4.3.8, 4.4.14, 4.4.24, 4.4.25, 4.4.28, 4.4.33, 4.4.37, 4.5.5, 4.5.6, 4.6.18, 4.6.22, 4.7.13, 4.7.21, 4.7.24, 4.7.33, 4.7.36, 4.8.7, 4.8.10, 4.8.11, 4.8.24, 4.8.25, 4.9.6, 4.10.1, 4.10.31, 4.11.1, 4.11.14, 4.11.34, 4.12.7, 4.12.13, 4.12.19, 4.13.9"
systematic structure,"1.1.1, 1.1.3, 1.1.6, 1.1.9, 1.1.21, 1.1.32, 1.2.2, 1.2.7, 1.2.10, 1.2.17, 1.2.28, 1.3.1, 1.4.4, 1.4.28, 1.5.1, 1.5.2, 1.6.1, 1.6.37, 1.7.20, 1.8.7, 1.9.1, 1.9.25, 1.11.26, 1.11.33, 1.11.34, 1.12.1, 1.12.4, 1.12.26, 1.12.30, 1.12.32, 1.16.10, 1.17.10, 1.17.29, 1.18.1, 1.18.21, 1.19.14, 1.19.16, 1.19.23, 1.20.2, 1.20.12, 1.20.17, 1.22.1, 1.22.5, 1.22.13, 1.22.16, 1.22.18, 1.23.2, 1.24.1, 1.25.1, 1.25.12, 1.26.15, 1.27.18, 1.28.10, 1.28.22, 1.28.28, 1.29.2, 1.29.6, 2.1.1, 2.1.4, 2.1.12, 2.1.21, 2.1.24, 2.1.29, 2.2.10, 2.2.14, 2.2.21, 2.4.9, 2.6.1, 2.6.5, 2.6.13, 2.8.1, 2.8.4, 2.9.13, 2.10.15, 2.10.25, 2.11.12, 2.11.13, 2.11.23, 2.14.14, 2.14.28, 2.16.24, 2.17.1, 2.17.7, 2.17.11, 2.17.15, 2.18.1, 2.18.30, 2.19.13, 2.19.33, 2.20.18, 2.21.4, 2.22.2, 2.22.5, 2.22.15, 2.22.28, 2.23.1, 2.23.13, 2.23.19, 2.23.20, 2.23.27, 2.23.36, 2.23.40, 2.24.10, 3.1.3, 3.3.2, 3.3.6, 3.3.16, 3.7.8, 3.7.23, 3.7.24, 3.12.13, 3.13.2, 3.14.7, 3.14.8, 3.15.1, 3.17.8, 3.21.2, 3.22.19, 3.22.23, 3.22.43, 3.22.51, 3.22.69, 3.22.76, 3.22.90, 3.22.97, 3.23.4, 3.23.15, 3.23.18, 3.24.60, 3.24.83, 3.24.116, 3.25.1, 4.1.2, 4.1.24, 4.1.52, 4.1.61, 4.1.64, 4.1.81, 4.1.89, 4.1.124, 4.1.128, 4.1.133, 4.1.152, 4.1.157, 4.1.169, 4.2.4, 4.4.1, 4.4.15, 4.4.40, 4.5.14, 4.5.19, 4.5.31, 4.6.3, 4.6.28, 4.6.34, 4.6.36, 4.7.1, 4.7.27, 4.8.6, 4.8.13, 4.9.1, 4.10.31, 4.11.14, 4.12.15, 4.13.1"
